    n:        logalt:       alt (km)         lognH:     nH (cm^-3)       lognCO2:   nCO2 (cm^-3)
   200        4.52464        92.2631         17.436    3.73549e+07        29.0993    4.34181e+12
   201        4.52536         92.329         17.436    3.73549e+07        29.0893    4.29851e+12
   202        4.52607        92.3948         17.436    3.73549e+07        29.0793    4.25559e+12
   203        4.52678        92.4607         17.436    3.73549e+07        29.0692    4.21307e+12
   204         4.5275        92.5267         17.436    3.73549e+07        29.0592    4.17093e+12
   205        4.52821        92.5927         17.436    3.73549e+07        29.0491    4.12918e+12
   206        4.52892        92.6587         17.436    3.73549e+07         29.039    4.08781e+12
   207        4.52964        92.7248         17.436    3.73549e+07         29.029    4.04681e+12
   208        4.53035         92.791         17.436    3.73549e+07        29.0189    4.00619e+12
   209        4.53106        92.8572         17.436    3.73549e+07        29.0088    3.96594e+12
   210        4.53178        92.9234         17.436    3.73549e+07        28.9987    3.92606e+12
   211        4.53249        92.9897         17.436    3.73549e+07        28.9885    3.88655e+12
   212         4.5332         93.056         17.436    3.73549e+07        28.9784     3.8474e+12
   213        4.53391        93.1224         17.436    3.73549e+07        28.9683    3.80861e+12
   214        4.53463        93.1888         17.436    3.73549e+07        28.9581    3.77018e+12
   215        4.53534        93.2553         17.436    3.73549e+07         28.948     3.7321e+12
   216        4.53605        93.3218         17.436    3.73549e+07        28.9378    3.69437e+12
   217        4.53677        93.3884         17.436    3.73549e+07        28.9277    3.65699e+12
   218        4.53748         93.455         17.436    3.73549e+07        28.9175    3.61996e+12
   219        4.53819        93.5217         17.436    3.73549e+07        28.9073    3.58328e+12
   220        4.53891        93.5884         17.436    3.73549e+07        28.8971    3.54693e+12
   221        4.53962        93.6552         17.436    3.73549e+07        28.8869    3.51092e+12
   222        4.54033         93.722         17.436    3.73549e+07        28.8767    3.47525e+12
   223        4.54105        93.7888         17.436    3.73549e+07        28.8665    3.43991e+12
   224        4.54176        93.8557         17.436    3.73549e+07        28.8562     3.4049e+12
   225        4.54247        93.9227         17.436    3.73549e+07         28.846    3.37022e+12
   226        4.54319        93.9897         17.436    3.73549e+07        28.8358    3.33587e+12
   227         4.5439        94.0567         17.436    3.73549e+07        28.8255    3.30183e+12
   228        4.54461        94.1238         17.436    3.73549e+07        28.8152    3.26812e+12
   229        4.54532         94.191         17.436    3.73549e+07         28.805    3.23472e+12
   230        4.54604        94.2582         17.436    3.73549e+07        28.7947    3.20164e+12
   231        4.54675        94.3254         17.436    3.73549e+07        28.7844    3.16887e+12
   232        4.54746        94.3927         17.436    3.73549e+07        28.7741    3.13641e+12
   233        4.54818          94.46         17.436    3.73549e+07        28.7638    3.10425e+12
   234        4.54889        94.5274         17.436    3.73549e+07        28.7535     3.0724e+12
   235         4.5496        94.5948         17.436    3.73549e+07        28.7432    3.04085e+12
   236        4.55032        94.6623         17.436    3.73549e+07        28.7328    3.00961e+12
   237        4.55103        94.7298         17.436    3.73549e+07        28.7225    2.97866e+12
   238        4.55174        94.7974         17.436    3.73549e+07        28.7121      2.948e+12
   239        4.55246         94.865         17.436    3.73549e+07        28.7018    2.91763e+12
   240        4.55317        94.9327         17.436    3.73549e+07        28.6914    2.88756e+12
   241        4.55388        95.0004         17.436    3.73549e+07        28.6811    2.85777e+12
   242        4.55459        95.0682         17.436    3.73549e+07        28.6707    2.82827e+12
   243        4.55531         95.136         17.436    3.73549e+07        28.6603    2.79905e+12
   244        4.55602        95.2039         17.436    3.73549e+07        28.6499    2.77011e+12
   245        4.55673        95.2718         17.436    3.73549e+07        28.6395    2.74145e+12
   246        4.55745        95.3398         17.436    3.73549e+07        28.6291    2.71306e+12
   247        4.55816        95.4078         17.436    3.73549e+07        28.6187    2.68495e+12
   248        4.55887        95.4758         17.436    3.73549e+07        28.6083     2.6571e+12
   249        4.55959        95.5439         17.436    3.73549e+07        28.5978    2.62953e+12
   250         4.5603        95.6121         17.436    3.73549e+07        28.5874    2.60222e+12
   251        4.56101        95.6803         17.436    3.73549e+07        28.5769    2.57518e+12
   252        4.56173        95.7485         17.436    3.73549e+07        28.5665     2.5484e+12
   253        4.56244        95.8168         17.436    3.73549e+07         28.556    2.52187e+12
   254        4.56315        95.8852         17.436    3.73549e+07        28.5456    2.49561e+12
   255        4.56386        95.9536         17.436    3.73549e+07        28.5351     2.4696e+12
   256        4.56458         96.022         17.436    3.73549e+07        28.5246    2.44384e+12
   257        4.56529        96.0905         17.436    3.73549e+07        28.5141    2.41834e+12
   258          4.566        96.1591         17.436    3.73549e+07        28.5036    2.39308e+12
   259        4.56672        96.2277         17.436    3.73549e+07        28.4931    2.36807e+12
   260        4.56743        96.2963         17.436    3.73549e+07        28.4826    2.34331e+12
   261        4.56814         96.365         17.436    3.73549e+07        28.4721    2.31878e+12
   262        4.56886        96.4338         17.436    3.73549e+07        28.4615     2.2945e+12
   263        4.56957        96.5026         17.436    3.73549e+07         28.451    2.27046e+12
